id,company_id,name,slug,badge_text,position,created_at
11111111-1111-4111-a111-111111111111,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,Mais Vendidos,mais-vendidos,⭐ Mais vendido,1,2026-09-11 12:12:28.861731+00
22222222-2222-4222-a222-222222222222,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,Lançamentos,lancamentos,✦ Novo,2,2026-09-11 12:12:28.861731+00
33333333-3333-4333-a333-333333333333,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,Destaques,destaques,Destaque,3,2026-09-11 12:12:28.861731+00
44444444-4444-4444-a444-444444444444,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,Promoções,promocoes,Oferta,4,2026-09-11 12:12:28.861731+00
