id,company_id,purchase_date,stock_purchase_amount,freight_amount,total_repurchase_amount,notes,created_at,updated_at
08d11e33-efcf-44c5-a70f-0f483ad24428,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,2026-09-02,1210.51,40.00,1250.51,16 pods,2026-09-02 17:52:19.892+00,2026-09-11 11:42:50.387961+00
a397b468-465c-4c70-ab68-94e4600dabf6,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,2026-09-05,1406.90,31.00,1437.90,24 pods,2026-09-05 20:41:09.68+00,2026-09-11 11:42:50.387961+00
c9a94f00-6c96-4bc7-9615-65463ace49fd,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,2026-09-16,1088.00,34.00,1122.00,,2026-09-16 18:13:50.388698+00,2026-09-16 18:13:50.388698+00
cb32e5c8-9606-47f4-ac3a-4c047cdb3411,d7e1c479-32b4-40b8-b2d7-42fe4db1f8b5,2026-08-22,1014.00,40.00,1054.00,16 pods,2026-08-22 01:53:21.404+00,2026-09-11 11:42:50.387961+00
